text,label
NASA confirms water on the moon,REAL
Aliens landed in my backyard last night,FAKE
COVID-19 vaccines are effective,REAL
Elon Musk builds rocket from scrap,FAKE
Government announces new education policy,REAL
Bananas can fix broken bones,FAKE
Supreme Court allows new privacy law,REAL
Drinking bleach cures coronavirus,FAKE
India launches new satellite,REAL
Flat Earth theory proven true,FAKE
Earthquake of 7.8 magnitude hits Japan,REAL
Scientists discover cure for cancer,FAKE
Mars rover sends new images,REAL
Wearing magnets heals your body,FAKE
Prime Minister addresses the nation,REAL
Eating chocolate daily makes you invisible,FAKE
Budget 2025 focuses on education and healthcare,REAL
Aliens signed peace treaty with Earth,FAKE
New AI system beats humans in chess,REAL
Government bans all mobile phones,FAKE
ISRO successfully tests reusable rocket,REAL
5G towers are spreading viruses,FAKE
New traffic rules implemented in Delhi,REAL
Time travel machine invented,FAKE
Vaccination drive covers 90% population,REAL
Unicorn spotted in Canada forest,FAKE
Supreme Court rules on data privacy,REAL
Dogs can now talk, claims scientist,FAKE
Indian Railways launches bullet train,REAL
Wearing green stops you from getting sick,FAKE
NASA launches mission to Europa,REAL
Robots will replace all jobs,FAKE
UFO sightings reported in the UK,REAL
Government announces free internet for all,REAL
Artificial intelligence passes medical exams,REAL
COVID-19 vaccine can alter DNA,FAKE
Elon Musk to build the first city on Mars,REAL
President signs bill into law to fund space exploration,REAL
Aliens contact world leaders,FAKE
Cloning humans is now possible,FAKE
Superfast trains running in Japan,REAL
China has developed a cure for aging,FAKE
High-speed internet to reach remote areas,REAL
Scientists create time machine,FAKE
Ancient pyramids found in Antarctica,FAKE
Quantum computers will change the world,REAL
Apple announces flying cars by 2030,FAKE
NASA's new telescope discovers new galaxies,REAL
World's first fully autonomous city to be built,REAL
AI-generated art wins major award,REAL
Flying cars are now available in Dubai,FAKE
Vaccine will eliminate all diseases,FAKE
First human born on Mars,FAKE
World's largest telescope to study black holes,REAL
New antibiotic can cure all bacterial infections,FAKE
AI is capable of creativity,REAL
Facebook develops brain-computer interface,REAL
Self-healing materials invented by scientists,REAL
Ocean water can now be converted to fresh water,REAL
Time travel is possible with new technology,FAKE
Animals communicate using complex languages,FAKE
Scientists discover a new species of dinosaur,REAL
US to send astronauts to the Moon by 2025,REAL
New discovery suggests life on Mars,REAL
Artificial intelligence can write novels,REAL
First fully-functional robot doctor created,REAL
NASA plans to launch a manned mission to Jupiter,REAL
Climate change can be reversed with new technology,REAL
Scientists clone extinct animals,FAKE
New cure for the common cold discovered,REAL
Japan to build space elevator by 2040,FAKE
Bitcoin will replace all currencies,FAKE
Driverless cars are now on the roads in California,REAL
New material can make invisible cloaks,FAKE
Scientists discover the secret to eternal youth,FAKE
